is_notre_dame,is_opponent,id,first_name,last_name,middle_name,suffix,created_at,updated_at
"false","true","75","'Blaine'","'McKusick'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","76","'Bo'","'McMillin'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","77","'Bo'","'Schembechler'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","78","'Bob'","'DeMoss'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","79","'Bob'","'Devaney'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","80","'Bob'","'Hicks'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","81","'Bob'","'Stoops'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","82","'Bob'","'Sutton'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","83","'Bob'","'Voights'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","84","'Bob'","'Wagner'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","85","'Bob'","'Zuppke'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","86","'Bobby'","'Bowden'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","87","'Bobby'","'Collins'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","88","'Bobby'","'Dodd'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","89","'Bobby'","'Petrino'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","90","'Bobby'","'Ross'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","91","'Bobby'","'Williams'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","92","'Brady'","'Hoke'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","93","'Brian'","'Polian'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","94","'Bronco'","'Mendenhall'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","95","'Bruce'","'Snyder'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
